type,area,city,date,instructions
ירי רקטות וטילים,עוטף עזה,ניר יצחק,2023-10-27T18:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,סופה,2023-10-27T18:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,נתיב העשרה,2023-10-27T16:56:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,מבקיעים,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד - ח,ט,י,יג,יד,טז",2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד - א,ב,ד,ה",2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד - ג,ו,ז",2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,ניצנים,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,ניצן,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אזור תעשייה צפוני אשקלון,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,כפר סילבר,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אשקלון - צפון,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
